ts_fk_algo_hp,seed,test,valid,best_val_epoch,best_train,min_train_loss
"fc09bf8_1GSOE:-0.1,-0.2,-0.3,-0.4,-0.5:P::3,4:,:3,4:,:3,4:,:3,4:,:3,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1671782082_S0",0,0.06767581775784492,0.08344069751910865,309,0.007707219520453245,0.011806619249782555
"fc09bf8_1GSOE:-0.1,-0.2,-0.3,-0.4,-0.5:P::3,4:,:3,4:,:3,4:,:3,4:,:3,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1671787764_S1",1,0.07081993157044053,0.0842180410400033,168,0.003722783661548309,0.008311335638070561
"fc09bf8_1GSOE:-0.1,-0.2,-0.3,-0.4,-0.5:P::3,4:,:3,4:,:3,4:,:3,4:,:3,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1671792285_S2",2,0.06804107571952045,0.09661142970435321,145,0.007525909144822864,0.011515564804267922
