ts_fk_algo_hp,seed,test,valid,best_val_epoch,best_train,min_train_loss
"74dddb4_1DENE:-0.2,-0.25,-0.3,-0.35:P::1,5:,:1,5:,:1,5:,:1,5::D_8_384_0.0005_5:5,10,15:0.2_0.01B64W8/T1675163164_S0",0,0.30242098044178933,0.3077772794307846,10,0.7526475518077965,0.014987895594459011
"74dddb4_1DENE:-0.2,-0.25,-0.3,-0.35:P::1,5:,:1,5:,:1,5:,:1,5::D_8_384_0.0005_5:5,10,15:0.2_0.01B64W8/T1675175123_S1",1,0.29850736297431557,0.30572793506579815,10,0.7564507882183317,0.01494265153740435
"74dddb4_1DENE:-0.2,-0.25,-0.3,-0.35:P::1,5:,:1,5:,:1,5:,:1,5::D_8_384_0.0005_5:5,10,15:0.2_0.01B64W8/T1675187565_S2",2,0.29512739345071265,0.30896324643320394,11,0.7514922976695746,0.01523730254812872
"74dddb4_1DENE:-0.2,-0.25,-0.3,-0.35:P::1,5:,:1,5:,:1,5:,:1,5::D_8_384_0.0005_5:5,10,15:0.2_0.01B64W8/T1675199624_S3",3,0.3038436790517854,0.3040114899709142,11,0.7580106590542446,0.01473829633934789
"74dddb4_1DENE:-0.2,-0.25,-0.3,-0.35:P::1,5:,:1,5:,:1,5:,:1,5::D_8_384_0.0005_5:5,10,15:0.2_0.01B64W8/T1675211703_S4",4,0.29870707414442615,0.30795303373054045,10,0.7543829694715453,0.015000063239864699
,,0.29972129801260583_0.0030947878152269618,0.30688659692624826_0.0017805512218213371,,,
