epoch,train,valid,test,train_loss
1.0,0.7492652345614829,0.7347532548010349,0.7953282669186592,1.3293445110321045
2.0,0.4596135891546869,0.4817779418081045,0.5002751592546701,0.606726270572395
3.0,0.5048467412496068,0.508826456964016,0.5332284104079008,0.6328854407094846
4.0,0.6519063242301819,0.6466005481779575,0.6775561682879925,0.564014338194185
5.0,0.4256385635987968,0.44518348574638367,0.46210555359721184,0.5301636108167612
6.0,0.3537244003289824,0.3700385633856058,0.3875042200088501,0.45355364091836725
7.0,0.571145981360393,0.5793895330280066,0.5812538638710976,0.39853896324042304
8.0,0.3852807294790912,0.40980975329875946,0.3942436520010233,0.3675558389561951
9.0,0.3980038600742437,0.4239401165395975,0.3973759412765503,0.3325588366218433
10.0,0.29751171693680395,0.33231244795024395,0.2966230995953083,0.3195337171007873
11.0,0.3329589587108345,0.35885434318333864,0.33211791049689054,0.28895118728185154
12.0,0.4792975094288018,0.5039533879607916,0.5041890442371368,0.2894552033038656
13.0,0.2818750917531882,0.31876685190945864,0.2825469570234418,0.257416053752231
14.0,0.21744314215745136,0.2607947625219822,0.22119735460728407,0.2529755475794434
15.0,0.1988840673569661,0.24519566353410482,0.18997158575803041,0.2476324372610469
16.0,0.28443990363057253,0.3156594783067703,0.28622162342071533,0.25125617215967483
17.0,0.3334368825148625,0.36048901081085205,0.32866660319268703,0.22045065044977102
18.0,0.2050705487561074,0.24571991339325905,0.20225495100021362,0.20880899478675455
19.0,0.27765829415078375,0.3251151777803898,0.2839783802628517,0.21250830733092727
20.0,0.35581109535162614,0.40967997908592224,0.356008417904377,0.22079856874077183
21.0,0.1627000041163651,0.2063093353062868,0.16602110816165805,0.18861702649266857
22.0,0.18706309947238606,0.22712701186537743,0.1885124146938324,0.20055686131973935
23.0,0.22880849251701574,0.25926391687244177,0.2420576000586152,0.1904219546515471
24.0,0.16636403664282173,0.19855016097426414,0.16976657323539257,0.17763667919073894
25.0,0.2505287940904593,0.28754618391394615,0.25268610287457705,0.18245552840885843
26.0,0.22931764716175712,0.26073327008634806,0.23478211276233196,0.18613333705883878
27.0,0.22325407746870807,0.25243509374558926,0.2413775995373726,0.17651079533396252
28.0,0.16075639089771138,0.18961383681744337,0.17408738657832146,0.17436346340521125
29.0,0.22555158538803174,0.25879514031112194,0.21804012171924114,0.17744368509312344
30.0,0.16504088181788754,0.1987351831048727,0.15869136061519384,0.17754242659374408
31.0,0.13617621001544272,0.17372361663728952,0.14694510959088802,0.15669571271367894
32.0,0.18563126957720252,0.2216021530330181,0.19074329640716314,0.15475253770305852
33.0,0.16238176461997306,0.1968931802548468,0.17111030500382185,0.1530776967288582
34.0,0.184738407801291,0.21341717708855867,0.18822432216256857,0.1665956464352881
35.0,0.19807892591710302,0.2326620165258646,0.2111993907019496,0.15615281780624085
36.0,0.21090776126855498,0.23732352536171675,0.21097331121563911,0.1485738896640243
37.0,0.15419458839923714,0.19118012208491564,0.16084344312548637,0.1543817487871571
38.0,0.1410883921821406,0.18081392627209425,0.15701119555160403,0.15196688824398502
39.0,0.16570557036976905,0.19963899161666632,0.16739194933325052,0.1423643791846409
40.0,0.13610386691845147,0.1777306217700243,0.1501341639086604,0.13895849072060007
41.0,0.09478973383736458,0.13582896161824465,0.10998829873278737,0.11780580175910027
42.0,0.10491934333257615,0.1467265817336738,0.11587635148316622,0.11957015533735797
43.0,0.1311984336015525,0.17476703319698572,0.15019144117832184,0.12600098502863744
44.0,0.11433718581298355,0.1525260484777391,0.12382660107687116,0.11002683734438222
45.0,0.1099979355931282,0.1505841175094247,0.12335793301463127,0.10994558719692717
46.0,0.17694761884060634,0.21380445174872875,0.1908839102834463,0.11770588278200976
47.0,0.15640275370163523,0.1923239640891552,0.17050820216536522,0.10110215878315792
48.0,0.1392846469571636,0.17621108423918486,0.1580641702748835,0.10330166810067595
49.0,0.10320378455576623,0.14425136102363467,0.12026647897437215,0.10336322123837319
50.0,0.09710420103399617,0.1442471775226295,0.11542020225897431,0.10893282806797391
51.0,0.13450521719493683,0.17438916489481926,0.14426861749961972,0.10212532599355764
52.0,0.08322182610915725,0.13420644728466868,0.10055730072781444,0.09934853582055705
53.0,0.0890233667128405,0.1387303932569921,0.11012041149660945,0.09663139271793092
54.0,0.0854162253012323,0.1378909731283784,0.10051189223304391,0.09362566784308975
55.0,0.10083879639578473,0.14632887998595834,0.11727974377572536,0.1000640873032011
56.0,0.17829731106758118,0.22154445759952068,0.18915916327387094,0.09439918123612738
57.0,0.12821461896228184,0.17329423455521464,0.15048878826200962,0.09622585419921359
58.0,0.14786048874164084,0.18321596831083298,0.1756816222332418,0.09525931560120006
59.0,0.08578605529893736,0.13689461955800653,0.11153449350968003,0.09967722741376822
60.0,0.08330939778951323,0.12711120210587978,0.10486872168257833,0.09444348238835669
61.0,0.09536999160317099,0.1396938688121736,0.11608449276536703,0.08615183407903478
62.0,0.10364565053942856,0.15376523695886135,0.12559233279898763,0.1022135417932158
63.0,0.11627325085792573,0.15176844270899892,0.14366935333237052,0.08375515148138545
64.0,0.11114036078286019,0.139931570738554,0.1323280786164105,0.08956118668340574
65.0,0.09846391016320818,0.13811265071853995,0.12179678166285157,0.07930441290899447
66.0,0.08997692511814415,0.13612189516425133,0.11315129976719618,0.0847321222447286
67.0,0.06792390365509471,0.10465054074302316,0.09408932365477085,0.08190485215775527
68.0,0.10301796190298287,0.1337940259836614,0.12105901399627328,0.0780266427974792
69.0,0.08301014759263416,0.13730996288359165,0.1123049957677722,0.08359291022465487
70.0,0.10404559917700519,0.14723306894302368,0.13208847725763917,0.08897227817659925
71.0,0.1469453910164013,0.18433089088648558,0.16702239587903023,0.08452058718747395
72.0,0.12126428192588175,0.16396253695711493,0.14466722728684545,0.08150067685800753
73.0,0.06870234572583703,0.12167298141866922,0.0972365471534431,0.08124900113340396
74.0,0.06225875615599049,0.11299095023423433,0.09084172733128071,0.07066226781458612
75.0,0.12426144634462466,0.1578479870222509,0.14367893896996975,0.07285767618068464
76.0,0.06723882903338997,0.11509637162089348,0.10100454557687044,0.062246390446356145
77.0,0.048771406411175514,0.1001954972743988,0.08697904320433736,0.05723456143858326
78.0,0.04898977004418707,0.0971398614346981,0.08310314640402794,0.051146925421087605
