epoch,train,valid,test,train_loss
74.0,0.9986363636363637,0.9794,0.9782,0.004683185114036109
75.0,0.9999636363636364,0.9848,0.9803,0.0028194312381841892
76.0,0.9999818181818182,0.9856,0.981,0.00043521656982117553
77.0,0.9998181818181818,0.985,0.981,0.0001495629370440661
78.0,0.9980545454545454,0.9808,0.9769,0.0016964741719832348
79.0,0.9998727272727272,0.9832,0.9799,0.0018725150499127004
80.0,0.9998363636363636,0.9814,0.9792,0.0014916991499153561
81.0,0.9998,0.984,0.9801,0.0014659682942856518
82.0,0.9996363636363637,0.9832,0.9794,0.0018458758599165963
83.0,0.9997272727272727,0.9838,0.9794,0.0009797096487072863
84.0,0.9999636363636364,0.9826,0.9817,0.0010858692376376799
85.0,0.9999090909090909,0.983,0.9785,0.0018541289661363155
86.0,0.9996727272727273,0.9822,0.9791,0.0012088077073360314
87.0,0.9969454545454546,0.9784,0.976,0.00046296971654981165
88.0,0.9999818181818182,0.9848,0.9831,0.002051664152121505
89.0,1.0,0.9862,0.9828,0.00013295996069527364
90.0,0.9995636363636363,0.9818,0.9789,0.0009266200007598794
91.0,0.9999272727272728,0.984,0.9812,0.002523688834557604
92.0,1.0,0.9852,0.982,0.0006486390748813395
93.0,1.0,0.9846,0.9818,8.287545580658739e-05
94.0,1.0,0.9856,0.9828,3.350050684472201e-05
95.0,0.9996,0.9852,0.9796,0.004061037840920404
96.0,1.0,0.9838,0.9813,0.0004908927002659797
97.0,0.9999818181818182,0.9844,0.9819,0.00012143498026309717
98.0,0.9995090909090909,0.9824,0.9798,0.0029732433797337097
99.0,0.9998727272727272,0.984,0.9811,0.0017380837675097605
100.0,1.0,0.9856,0.9828,0.00020664567175130019
101.0,0.9977636363636364,0.9798,0.9788,0.00174328590270076
102.0,0.9999636363636364,0.9856,0.9817,0.001430410742731929
103.0,0.9999818181818182,0.986,0.9819,0.0006597739943144834
104.0,0.9991636363636364,0.981,0.9788,0.0015205919644949543
105.0,0.9999636363636364,0.983,0.9819,0.002281577219212589
106.0,1.0,0.9848,0.9832,0.00018775718194151563
107.0,0.9998363636363636,0.984,0.9809,0.0016656490433942304
108.0,0.9923454545454545,0.9746,0.9703,0.00048624178346243154
109.0,0.9999090909090909,0.986,0.9816,0.002146218211803594
110.0,0.9999818181818182,0.9854,0.9837,0.00027246928928689984
111.0,1.0,0.986,0.9835,5.650661015446916e-05
112.0,1.0,0.9856,0.9836,2.0995891889068037e-05
113.0,1.0,0.986,0.9835,1.0789493575741972e-05
114.0,1.0,0.9852,0.9833,9.705822623739961e-06
115.0,1.0,0.984,0.9819,4.007032055166331e-05
116.0,0.9998545454545454,0.9828,0.9811,0.0015367916544732256
117.0,1.0,0.9844,0.982,0.0002663339683954793
118.0,1.0,0.9834,0.9826,5.453389059770284e-05
119.0,1.0,0.984,0.9831,1.6864943812825982e-05
120.0,1.0,0.9856,0.9829,1.4230906418713432e-05
121.0,1.0,0.9864,0.9833,8.518829347903912e-06
122.0,0.9992727272727273,0.9816,0.982,0.0012735229625615786
123.0,1.0,0.9854,0.9813,0.000657708499941306
124.0,0.9999818181818182,0.9858,0.9803,0.00019616926410666023
125.0,1.0,0.9858,0.983,3.3702813294881104e-05
126.0,0.9997636363636364,0.9824,0.9818,0.0008628888102899456
127.0,1.0,0.9846,0.9821,0.00018300939838240924
128.0,1.0,0.983,0.9818,0.00024327697537295981
129.0,0.9999818181818182,0.9852,0.9806,8.10812934888436e-05
130.0,0.9999272727272728,0.9856,0.9822,0.0003312484906316192
131.0,0.9999636363636364,0.9844,0.9816,0.0005718599999746826
132.0,1.0,0.9854,0.9827,7.183639107348632e-05
133.0,0.9999818181818182,0.9848,0.9818,0.00018234513467319744
134.0,0.9999454545454546,0.982,0.9817,0.000791058577120926
135.0,1.0,0.987,0.9824,0.00029167863224861666
136.0,1.0,0.9866,0.9832,1.589251713876092e-05
137.0,1.0,0.9864,0.9834,6.774181247543161e-06
138.0,1.0,0.9872,0.983,6.348578435191166e-06
139.0,1.0,0.987,0.9834,3.7676060359670157e-06
140.0,1.0,0.9862,0.9832,2.2767810569270384e-06
141.0,1.0,0.9862,0.9832,2.290849732932479e-06
142.0,1.0,0.986,0.9837,9.799626317580744e-07
143.0,1.0,0.9866,0.9842,1.1409215165848655e-06
144.0,0.9998,0.9814,0.9807,0.0019210974371718613
145.0,1.0,0.9838,0.9827,0.0005297257013344522
146.0,1.0,0.9858,0.9832,9.929882715560266e-05
147.0,1.0,0.9864,0.9831,4.2239298122189844e-05
148.0,1.0,0.9858,0.9829,9.663480163600677e-06
