ts_fk_algo_hp,seed,test,valid,best_val_epoch,best_train,min_train_loss
"fc09bf8_1GSOE:-0.1,-0.2,-0.3,-0.4,-0.5:P::4,4:,:4,4:,:4,4:,:4,4:,:4,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1671705341_S0",0,0.06791654950939119,0.08386508445255458,160,0.004014648497104645,0.008160009493778465
"fc09bf8_1GSOE:-0.1,-0.2,-0.3,-0.4,-0.5:P::4,4:,:4,4:,:4,4:,:4,4:,:4,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1671709630_S1",1,0.06452603591606021,0.08902839198708534,191,0.007829337991821539,0.012171364330040043
"fc09bf8_1GSOE:-0.1,-0.2,-0.3,-0.4,-0.5:P::4,4:,:4,4:,:4,4:,:4,4:,:4,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1671714071_S2",2,0.06798795191571116,0.09205914265476167,278,0.007816868650305803,0.011990612313436096
"fc09bf8_1GSOE:-0.1,-0.2,-0.3,-0.4,-0.5:P::4,4:,:4,4:,:4,4:,:4,4:,:4,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1671718686_S3",3,0.06789809465408325,0.08157798647880554,280,0.0040807589950858595,0.0082662324925327
"fc09bf8_1GSOE:-0.1,-0.2,-0.3,-0.4,-0.5:P::4,4:,:4,4:,:4,4:,:4,4:,:4,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1671724620_S4",4,0.06581506342627108,0.08361090649850667,217,0.00777385190164872,0.01178650853111391
,,0.06682873908430338_0.0014142565159668706,0.08602830241434276_0.003891020389053117,,,
