ts_fk_algo_hp,seed,test,valid,best_val_epoch,best_train,min_train_loss
"afed78f_1shdSPA3E:-0.1,-0.2,-0.3,-0.4,-0.5:P::4,4:,:4,4:,:4,4:,:4,4:,:4,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1673538001_S0",0,0.19850028306245804,0.20730308070778847,149,0.013579929988997378,0.024018052123059894
"afed78f_1shdSPA3E:-0.1,-0.2,-0.3,-0.4,-0.5:P::4,4:,:4,4:,:4,4:,:4,4:,:4,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1673540642_S1",1,0.19356939941644669,0.20765746664255857,76,0.011378091146018664,0.020877397257336387
"afed78f_1shdSPA3E:-0.1,-0.2,-0.3,-0.4,-0.5:P::4,4:,:4,4:,:4,4:,:4,4:,:4,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1673543334_S2",2,0.135968416929245,0.1566918366588652,238,0.01122801038169652,0.022545653525858547
"afed78f_1shdSPA3E:-0.1,-0.2,-0.3,-0.4,-0.5:P::4,4:,:4,4:,:4,4:,:4,4:,:4,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1673546062_S3",3,0.1956023322418332,0.19864562340080738,169,0.012672225514628516,0.02330596018938502
"afed78f_1shdSPA3E:-0.1,-0.2,-0.3,-0.4,-0.5:P::4,4:,:4,4:,:4,4:,:4,4:,:4,4::D_6_160_0.001_5:40,75,110,145,180,215,250,305,340:0.6B64W4/T1673548671_S4",4,0.19757648836821318,0.20568392192944884,95,0.011028880010222553,0.021571354922737665
,,0.1842433840036392_0.02419712196672038,0.1951963858678937_0.019526067479195258,,,
