ts_fk_algo_hp,seed,test,valid,best_val_epoch,best_train,min_train_loss
"7612855_0GSOE:-0.2,-0.25,-0.3,-0.35:P::1,5:,:1,5:,:1,5:,:1,5::D_8_384_0.0005_5:5,10,15:0.2B128W8/T1674263046_S0",0,0.298811541597105,0.30767042028372005,12,0.7071725368886308,0.016752887665858075
"7612855_0GSOE:-0.2,-0.25,-0.3,-0.35:P::1,5:,:1,5:,:1,5:,:1,5::D_8_384_0.0005_5:5,10,15:0.2B128W8/T1674273537_S1",1,0.2993665519044908,0.3111828636947891,15,0.6976213728429318,0.01728107914610217
"7612855_0GSOE:-0.2,-0.25,-0.3,-0.35:P::1,5:,:1,5:,:1,5:,:1,5::D_8_384_0.0005_5:5,10,15:0.2B128W8/T1674284091_S2",2,0.2979100614809678,0.3110478551075683,16,0.6943108276505688,0.017343528822494344
"7612855_0GSOE:-0.2,-0.25,-0.3,-0.35:P::1,5:,:1,5:,:1,5:,:1,5::D_8_384_0.0005_5:5,10,15:0.2B128W8/T1674294683_S3",3,0.2952767584886024,0.30392200805560077,15,0.7052229414937065,0.016885636294079662
"7612855_0GSOE:-0.2,-0.25,-0.3,-0.35:P::1,5:,:1,5:,:1,5:,:1,5::D_8_384_0.0005_5:5,10,15:0.2B128W8/T1674305275_S4",4,0.30486189034964256,0.30710074283185357,15,0.6952429998402467,0.017178356320610155
,,0.29924536076416175_0.003139462347092391,0.30818477799470634_0.002712807846572596,,,
