{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.2], 'power': [[1, 4], [1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672668219', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.2], 'power': [[1, 4], [1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672668220, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  28%|██▊       | 95/344 [00:00<00:00, 944.61it/s]Pre-process:  56%|█████▌    | 193/344 [00:00<00:00, 961.05it/s]Pre-process:  85%|████████▍ | 292/344 [00:00<00:00, 971.52it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 970.46it/s]
Basis total: 9
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 419331
Epoch: 001, Train Loss: 1.1016797, Train Acc: 0.5533981, Test Acc: 0.5142857
Epoch: 002, Train Loss: 1.0568123, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9909917, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.9112064, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.8382425, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7708017, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.7237643, Train Acc: 0.5728155, Test Acc: 0.5714286
Epoch: 008, Train Loss: 0.6869021, Train Acc: 0.5857605, Test Acc: 0.5714286
Epoch: 009, Train Loss: 0.6691905, Train Acc: 0.5889968, Test Acc: 0.6000000
Epoch: 010, Train Loss: 0.6404765, Train Acc: 0.6116505, Test Acc: 0.5428571
Epoch: 011, Train Loss: 0.5885520, Train Acc: 0.6666667, Test Acc: 0.6000000
Epoch: 012, Train Loss: 0.5599888, Train Acc: 0.6957929, Test Acc: 0.5428571
Epoch: 013, Train Loss: 0.6518777, Train Acc: 0.6019417, Test Acc: 0.6000000
Epoch: 014, Train Loss: 0.5404255, Train Acc: 0.7119741, Test Acc: 0.5714286
Epoch: 015, Train Loss: 0.5470419, Train Acc: 0.7184466, Test Acc: 0.4285714
Epoch: 016, Train Loss: 0.5457122, Train Acc: 0.7152104, Test Acc: 0.6000000
Epoch: 017, Train Loss: 0.5428332, Train Acc: 0.7022654, Test Acc: 0.4285714
Epoch: 018, Train Loss: 0.4973236, Train Acc: 0.7378641, Test Acc: 0.5714286
Epoch: 019, Train Loss: 0.4761818, Train Acc: 0.7540453, Test Acc: 0.4857143
Epoch: 020, Train Loss: 0.5265817, Train Acc: 0.7475728, Test Acc: 0.6000000
Epoch: 021, Train Loss: 0.5541031, Train Acc: 0.6860841, Test Acc: 0.4285714
Epoch: 022, Train Loss: 0.4842532, Train Acc: 0.7475728, Test Acc: 0.5142857
Epoch: 023, Train Loss: 0.4834452, Train Acc: 0.7572816, Test Acc: 0.3714286
Epoch: 024, Train Loss: 0.4335642, Train Acc: 0.7637540, Test Acc: 0.4285714
Epoch: 025, Train Loss: 0.4405839, Train Acc: 0.7605178, Test Acc: 0.5142857
Epoch: 026, Train Loss: 0.5987982, Train Acc: 0.7087379, Test Acc: 0.4571429
Epoch: 027, Train Loss: 0.4827085, Train Acc: 0.7508091, Test Acc: 0.4857143
Epoch: 028, Train Loss: 0.5271539, Train Acc: 0.7216828, Test Acc: 0.4285714
Epoch: 029, Train Loss: 0.4252565, Train Acc: 0.8058252, Test Acc: 0.4000000
Epoch: 030, Train Loss: 0.3948331, Train Acc: 0.8252427, Test Acc: 0.4857143
Epoch: 031, Train Loss: 0.3618821, Train Acc: 0.8381877, Test Acc: 0.4857143
Epoch: 032, Train Loss: 0.3680273, Train Acc: 0.8090615, Test Acc: 0.5428571
Epoch: 033, Train Loss: 0.3269724, Train Acc: 0.8446602, Test Acc: 0.4571429
Epoch: 034, Train Loss: 0.3717068, Train Acc: 0.8058252, Test Acc: 0.3428571
Epoch: 035, Train Loss: 0.3079795, Train Acc: 0.8414239, Test Acc: 0.4571429
Epoch: 036, Train Loss: 0.3813601, Train Acc: 0.7702265, Test Acc: 0.5142857
Epoch: 037, Train Loss: 0.3291102, Train Acc: 0.8317152, Test Acc: 0.4571429
Epoch: 038, Train Loss: 0.3077713, Train Acc: 0.8543689, Test Acc: 0.4571429
Epoch: 039, Train Loss: 0.3803328, Train Acc: 0.7993528, Test Acc: 0.5142857
