{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.1, -0.2, -0.3, -0.4], 'power': [[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'M', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672669805', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.1, -0.2, -0.3, -0.4], 'power': [[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'M', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672669806, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  24%|██▍       | 83/344 [00:00<00:00, 828.10it/s]Pre-process:  49%|████▉     | 170/344 [00:00<00:00, 850.56it/s]Pre-process:  75%|███████▍  | 257/344 [00:00<00:00, 855.22it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 858.80it/s]
Basis total: 11
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 419587
Epoch: 001, Train Loss: 1.0759507, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 0.9560530, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.8233594, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.7293290, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.6927037, Train Acc: 0.5695793, Test Acc: 0.5714286
Epoch: 006, Train Loss: 0.6769716, Train Acc: 0.5631068, Test Acc: 0.3714286
Epoch: 007, Train Loss: 0.9175168, Train Acc: 0.4886731, Test Acc: 0.4857143
Epoch: 008, Train Loss: 0.8660154, Train Acc: 0.5275081, Test Acc: 0.4857143
Epoch: 009, Train Loss: 0.6381592, Train Acc: 0.6245955, Test Acc: 0.4571429
Epoch: 010, Train Loss: 0.6206850, Train Acc: 0.6763754, Test Acc: 0.5714286
Epoch: 011, Train Loss: 0.5961758, Train Acc: 0.6699029, Test Acc: 0.4571429
Epoch: 012, Train Loss: 0.7881824, Train Acc: 0.6181230, Test Acc: 0.6000000
Epoch: 013, Train Loss: 0.7795966, Train Acc: 0.6440129, Test Acc: 0.6285714
Epoch: 014, Train Loss: 0.7601442, Train Acc: 0.6796117, Test Acc: 0.5428571
Epoch: 015, Train Loss: 0.5522500, Train Acc: 0.7022654, Test Acc: 0.6285714
Epoch: 016, Train Loss: 1.9384696, Train Acc: 0.6569579, Test Acc: 0.6000000
Epoch: 017, Train Loss: 1.4628344, Train Acc: 0.6213592, Test Acc: 0.5428571
Epoch: 018, Train Loss: 1.0757445, Train Acc: 0.6343042, Test Acc: 0.5714286
Epoch: 019, Train Loss: 0.5767936, Train Acc: 0.7249191, Test Acc: 0.6285714
Epoch: 020, Train Loss: 0.7014020, Train Acc: 0.6699029, Test Acc: 0.6285714
Epoch: 021, Train Loss: 0.8000079, Train Acc: 0.6245955, Test Acc: 0.5142857
Epoch: 022, Train Loss: 0.6407861, Train Acc: 0.7022654, Test Acc: 0.4857143
